@timestamp,@log_name,message,log,pipeline_component,level,source,subject,type,topic name,asset_state,function,throwable
2019-11-14T19:26:49.702248300+00:00,fluent.info,fluentd worker is now running worker=0,,,,,,,,,,
2019-11-14T19:28:27.000000000+00:00,docker.mqtt,, Opening ipv4 listen socket on port 1883.,MQTT_BROKER,,,,,,,,
2019-11-14T19:28:27.000000000+00:00,docker.mqtt,, mosquitto version 1.6.5 starting,MQTT_BROKER,,,,,,,,
2019-11-14T19:28:27.000000000+00:00,docker.mqtt,, Config loaded from /mosquitto/config/mosquitto.conf.,MQTT_BROKER,,,,,,,,
2019-11-14T19:28:27.000000000+00:00,docker.mqtt,, Opening ipv6 listen socket on port 1883.,MQTT_BROKER,,,,,,,,
2019-11-14T19:28:27.009723400+00:00,fluent.info,disable filter chain optimization because [Fluent::Plugin::ConcatFilter] uses `#filter_stream` method.,,,,,,,,,,
2019-11-14T19:28:29.032000000+00:00,com.rdsea.flink.platform.jobmanager,--------------------------------------------------------------------------------,"2019-11-14 19:28:29.019 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  - --------------------------------------------------------------------------------
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.200000000+00:00,com.rdsea.flink.platform.jobmanager," Starting StandaloneSessionClusterEntrypoint (Version: 1.7.2, Rev:ceba8af, Date:11.02.2019 @ 14:17:09 UTC)","2019-11-14 19:28:29.025 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  Starting StandaloneSessionClusterEntrypoint (Version: 1.7.2, Rev:ceba8af, Date:11.02.2019 @ 14:17:09 UTC)
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.201000000+00:00,com.rdsea.flink.platform.jobmanager, Maximum heap size: 981 MiBytes,"2019-11-14 19:28:29.026 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  Maximum heap size: 981 MiBytes
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.201000000+00:00,com.rdsea.flink.platform.jobmanager, JVM: OpenJDK 64-Bit Server VM - IcedTea - 1.8/25.212-b04,"2019-11-14 19:28:29.026 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  JVM: OpenJDK 64-Bit Server VM - IcedTea - 1.8/25.212-b04
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.201000000+00:00,com.rdsea.flink.platform.jobmanager, Current Hadoop/Kerberos user: <no hadoop dependency found>,"2019-11-14 19:28:29.026 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  Current Hadoop/Kerberos user: <no hadoop dependency found>
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.201000000+00:00,com.rdsea.flink.platform.jobmanager, OS current user: flink,"2019-11-14 19:28:29.025 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  OS current user: flink
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.202000000+00:00,com.rdsea.flink.platform.jobmanager, JAVA_HOME: /usr/lib/jvm/java-1.8-openjdk/jre,"2019-11-14 19:28:29.026 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  JAVA_HOME: /usr/lib/jvm/java-1.8-openjdk/jre
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.203000000+00:00,com.rdsea.flink.platform.jobmanager, No Hadoop Dependency available,"2019-11-14 19:28:29.027 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  No Hadoop Dependency available
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.203000000+00:00,com.rdsea.flink.platform.jobmanager, JVM Options:,"2019-11-14 19:28:29.027 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  JVM Options:
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.204000000+00:00,com.rdsea.flink.platform.jobmanager,    -Xmx1024m,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     -Xmx1024m
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.204000000+00:00,com.rdsea.flink.platform.jobmanager,    -Xms1024m,"2019-11-14 19:28:29.027 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     -Xms1024m
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.208000000+00:00,com.rdsea.flink.platform.jobmanager,    -Dlog4j.configuration=file:/opt/flink/conf/log4j-console.properties,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     -Dlog4j.configuration=file:/opt/flink/conf/log4j-console.properties
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.210000000+00:00,com.rdsea.flink.platform.jobmanager, Program Arguments:,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  Program Arguments:
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.210000000+00:00,com.rdsea.flink.platform.jobmanager,    -Dlogback.configurationFile=file:/opt/flink/conf/logback-console.xml,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     -Dlogback.configurationFile=file:/opt/flink/conf/logback-console.xml
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.212000000+00:00,com.rdsea.flink.platform.jobmanager,    --configDir,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     --configDir
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.212000000+00:00,com.rdsea.flink.platform.jobmanager,    /opt/flink/conf,"2019-11-14 19:28:29.028 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     /opt/flink/conf
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.213000000+00:00,com.rdsea.flink.platform.jobmanager,    cluster,"2019-11-14 19:28:29.029 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     cluster
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.213000000+00:00,com.rdsea.flink.platform.jobmanager,    --executionMode,"2019-11-14 19:28:29.029 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -     --executionMode
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.213000000+00:00,com.rdsea.flink.platform.jobmanager, Classpath: /opt/flink/lib/flink-metrics-prometheus-1.7.2.jar:/opt/flink/lib/flink-python_2.12-1.7.2.jar:/opt/flink/lib/fluency-1.8.1.jar:/opt/flink/lib/jackson-annotations-2.9.0.jar:/opt/flink/lib/jackson-core-2.9.7.jar:/opt/flink/lib/jackson-databind-2.9.7.jar:/opt/flink/lib/jackson-dataformat-msgpack-0.8.15.jar:/opt/flink/lib/log4j-over-slf4j.jar:/opt/flink/lib/logback-classic.jar:/opt/flink/lib/logback-core.jar:/opt/flink/lib/logback-more-appenders-1.5.4.jar:/opt/flink/lib/msgpack-core-0.8.15.jar:/opt/flink/lib/phi-accural-failure-detector-0.0.5.jar:/opt/flink/lib/slf4j-api.jar:/opt/flink/lib/flink-dist_2.12-1.7.2.jar:::,"2019-11-14 19:28:29.029 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  -  Classpath: /opt/flink/lib/flink-metrics-prometheus-1.7.2.jar:/opt/flink/lib/flink-python_2.12-1.7.2.jar:/opt/flink/lib/fluency-1.8.1.jar:/opt/flink/lib/jackson-annotations-2.9.0.jar:/opt/flink/lib/jackson-core-2.9.7.jar:/opt/flink/lib/jackson-databind-2.9.7.jar:/opt/flink/lib/jackson-dataformat-msgpack-0.8.15.jar:/opt/flink/lib/log4j-over-slf4j.jar:/opt/flink/lib/logback-classic.jar:/opt/flink/lib/logback-core.jar:/opt/flink/lib/logback-more-appenders-1.5.4.jar:/opt/flink/lib/msgpack-core-0.8.15.jar:/opt/flink/lib/phi-accural-failure-detector-0.0.5.jar:/opt/flink/lib/slf4j-api.jar:/opt/flink/lib/flink-dist_2.12-1.7.2.jar:::
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.219000000+00:00,com.rdsea.flink.platform.jobmanager,--------------------------------------------------------------------------------,"2019-11-14 19:28:29.029 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  - --------------------------------------------------------------------------------
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: parallelism.default, 1","2019-11-14 19:28:29.100 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: parallelism.default, 1
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Registered UNIX signal handlers for [TERM, HUP, INT]","2019-11-14 19:28:29.032 [main] INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint  - Registered UNIX signal handlers for [TERM, HUP, INT]
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: taskmanager.heap.size, 1024m","2019-11-14 19:28:29.099 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: taskmanager.heap.size, 1024m
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: taskmanager.numberOfTaskSlots, 1","2019-11-14 19:28:29.100 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: taskmanager.numberOfTaskSlots, 1
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: jobmanager.rpc.address, jobmanager","2019-11-14 19:28:29.096 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: jobmanager.rpc.address, jobmanager
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: jobmanager.rpc.port, 6123","2019-11-14 19:28:29.098 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: jobmanager.rpc.port, 6123
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.220000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: jobmanager.heap.size, 1024m","2019-11-14 19:28:29.099 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: jobmanager.heap.size, 1024m
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.221000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: metrics.reporter.prom.class, org.apache.flink.metrics.prometheus.PrometheusReporter","2019-11-14 19:28:29.102 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: metrics.reporter.prom.class, org.apache.flink.metrics.prometheus.PrometheusReporter
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.221000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: query.server.port, 6125","2019-11-14 19:28:29.103 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: query.server.port, 6125
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.221000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: metrics.reporters, prom","2019-11-14 19:28:29.102 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: metrics.reporters, prom
",FLINK,INFO,,,,,,,
2019-11-14T19:28:29.221000000+00:00,com.rdsea.flink.platform.jobmanager,"Loading configuration property: blob.server.port, 6124","2019-11-14 19:28:29.103 [main] INFO  org.apache.flink.configuration.GlobalConfiguration  - Loading configuration property: blob.server.port, 6124
",FLINK,INFO,,,,,,,
