device_id,humidity,temperature,time
gnfuv-temp-exp1-55d487b85b-5g2xh,21,40,2018-03-26 17:19:17.406089000
gnfuv-temp-exp1-55d487b85b-5g2xh,21,40,2018-03-26 17:19:31.261505000
gnfuv-temp-exp1-55d487b85b-5g2xh,21,40,2018-03-26 17:19:37.501453999
gnfuv-temp-exp1-55d487b85b-5g2xh,21,40,2018-03-26 17:19:43.741481000
gnfuv-temp-exp1-55d487b85b-5g2xh,22,40,2018-03-26 17:19:49.996507000
gnfuv-temp-exp1-55d487b85b-5g2xh,22,40,2018-03-26 17:19:56.221479000
gnfuv-temp-exp1-55d487b85b-5g2xh,22,39,2018-03-26 17:20:04.990622000
gnfuv-temp-exp1-55d487b85b-5g2xh,23,39,2018-03-26 17:20:16.283217000
gnfuv-temp-exp1-55d487b85b-5g2xh,23,39,2018-03-26 17:20:26.243098000
gnfuv-temp-exp1-55d487b85b-5g2xh,24,38,2018-03-26 17:21:04.116478000
gnfuv-temp-exp1-55d487b85b-5g2xh,24,38,2018-03-26 17:21:08.782779000
gnfuv-temp-exp1-55d487b85b-5g2xh,24,38,2018-03-26 17:21:15.422619000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:21:27.121274000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:21:33.793269000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:21:37.982014000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:21:47.149051000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:21:53.822176000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:22:00.459411000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,38,2018-03-26 17:22:12.158467000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,38,2018-03-26 17:22:16.859021000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,38,2018-03-26 17:22:26.028896000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,37,2018-03-26 17:22:37.753826000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,37,2018-03-26 17:22:46.509503000
gnfuv-temp-exp1-55d487b85b-5g2xh,25,37,2018-03-26 17:22:58.236718000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:04.888908000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:11.103022000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:17.341314000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:26.108859000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:34.873909000
gnfuv-temp-exp1-55d487b85b-5g2xh,26,37,2018-03-26 17:23:41.501411000
gnfuv-temp-exp1-55d487b85b-5g2xh,27,37,2018-03-26 17:23:47.742140000
gnfuv-temp-exp1-55d487b85b-5g2xh,27,37,2018-03-26 17:23:56.510337999
gnfuv-temp-exp1-55d487b85b-5g2xh,27,37,2018-03-26 17:24:05.277235000
gnfuv-temp-exp1-55d487b85b-5g2xh,27,37,2018-03-26 17:24:11.903309000
